id,word,meaning_en,meaning_kr,english_form,eng_def,sentence_kr,sentence_en,level,level_label,dict_level,pos,dict_pos,has_entry
1,것,A thing or  an object,정확히 가리키는 대상이 정해지지 않은 사물이나 사실.,something,A bound noun used to refer to a thing or fact that is not specified or determind by someone.,이번 일로 지수는 많은 것을 깨달았다.,,A,Beginner,초급,5,의존 명사,1
2,하다,To do,"어떤 행동이나 동작, 활동 등을 행하다.",do; perform,"To perform a certain move, action, activity, etc.",학생은 선생님의 질문에 대답을 했다.,,A,Beginner,초급,2,동사,1
3,있다,To be,사람이나 동물이 어느 곳에서 떠나거나 벗어나지 않고 머물다.,be; stay,For a person or animal to remain in a certain place without leaving or getting out of it.,나는 서울에 일 년 동안 있었다.,,A,Beginner,초급,2,동사,1
6,수,"way,method",생물에서 새끼를 배지 않거나 열매를 맺지 않는 성.,male,The gender of living things that does not become pregnant or bear fruit.,홍합의 암과 수는 색깔로 구별할 수 있다고 한다.,,A,Beginner,,5,명사,1
7,하다,To do,"어떤 행동이나 동작, 활동 등을 행하다.",do; perform,"To perform a certain move, action, activity, etc.",학생은 선생님의 질문에 대답을 했다.,,A,Beginner,초급,보,동사,1
8,나,Me,말하는 사람이 친구나 아랫사람에게 자기를 가리키는 말.,I,A pronoun used to indicate oneself to a friend or a younger person.,나는 대한민국 서울에서 태어났다.,,A,Beginner,초급,8,대명사,1
10,없다,"Do not exist, absent",사람이나 사물 등이 실제로 존재하지 않는 상태이다.,non-existent,(for a person or thing to be) Not existent in reality.,나는 신은 없다고 믿는 무신론자이다.,,A,Beginner,초급,4,형용사,1
11,않다,"To not be, to not do",어떤 행동을 안 하다.,do not,Not to do an action.,그는 아무 말도 않고 가만히 앉아 있었다.,,A,Beginner,중급,2,동사,1
12,사람,Person,생각할 수 있으며 언어와 도구를 만들어 사용하고 사회를 이루어 사는 존재.,human; man,"A being that is capable of thinking, makes and uses languages and tools and lives by forming a society with others.",사람은 생각하는 동물이다.,,A,Beginner,초급,1,명사,1
13,우리,"we,our",짐승을 가두어 기르는 곳.,pen; hutch; barn,The place for locking up animals to raise them. ,아버지는 소를 우리로 몰아넣으셨다.,,A,Beginner,,8,명사,1
